Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.25,-.31,-.08,-.18,-.21,-.28,-.25,-.34,-.45,-.42,-.30,***,***,-.21,-.22,-.34
1881,-.33,-.24,-.06,-.02,.01,-.36,.05,-.07,-.29,-.46,-.39,-.26,-.20,-.21,-.33,-.02,-.12,-.38
1882,.24,.19,.00,-.32,-.25,-.31,-.30,-.18,-.27,-.54,-.35,-.70,-.23,-.20,.06,-.19,-.26,-.39
1883,-.59,-.68,-.17,-.31,-.27,-.13,-.08,-.24,-.36,-.18,-.46,-.17,-.30,-.35,-.66,-.25,-.15,-.33
1884,-.18,-.12,-.65,-.61,-.37,-.43,-.42,-.53,-.46,-.46,-.59,-.48,-.44,-.42,-.16,-.54,-.46,-.50
1885,-1.02,-.47,-.25,-.50,-.60,-.46,-.36,-.43,-.41,-.38,-.39,-.13,-.45,-.48,-.66,-.45,-.42,-.39
1886,-.76,-.85,-.72,-.38,-.35,-.39,-.16,-.45,-.34,-.33,-.42,-.23,-.45,-.44,-.58,-.48,-.33,-.36
1887,-1.10,-.72,-.45,-.40,-.27,-.22,-.26,-.57,-.22,-.50,-.29,-.45,-.45,-.44,-.68,-.38,-.35,-.34
1888,-.50,-.63,-.65,-.23,-.16,-.04,-.02,-.23,-.21,-.05,-.02,-.25,-.25,-.27,-.52,-.35,-.10,-.09
1889,-.29,.28,-.03,.14,-.06,-.08,-.09,-.22,-.31,-.43,-.63,-.56,-.19,-.16,-.09,.02,-.13,-.46
1890,-.65,-.59,-.49,-.26,-.37,-.17,-.25,-.41,-.36,-.11,-.64,-.49,-.40,-.41,-.60,-.37,-.28,-.37
1891,-.47,-.67,-.17,-.36,-.16,-.14,-.13,-.14,-.09,-.29,-.54,-.03,-.27,-.30,-.54,-.23,-.14,-.30
1892,-.51,-.19,-.67,-.46,-.24,-.07,-.39,-.34,-.22,-.28,-.83,-.68,-.41,-.35,-.24,-.46,-.27,-.45
1893,-1.52,-.97,-.34,-.32,-.44,-.19,-.15,-.36,-.30,-.29,-.35,-.62,-.49,-.49,-1.06,-.37,-.23,-.31
1894,-.93,-.43,-.23,-.55,-.27,-.42,-.21,-.28,-.34,-.29,-.49,-.37,-.40,-.42,-.66,-.35,-.30,-.37
