Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.06,-.05,-.15,-.01,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.06,.09,.09,.09,-.05,-.07,-.02,-.04,-.01,-.01,.09,.00,.00,-.03,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.04,-.15,-.04,.01,-.04,.03,-.01,-.07,-.01,.00,.07,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.29,-.21,-.06,-.11,-.06,-.11,-.15,-.15,-.14,-.07,-.21,-.19,-.09
1885,-.20,-.23,-.30,-.36,-.32,-.42,-.33,-.22,-.19,-.13,-.11,-.09,-.24,-.25,-.19,-.33,-.32,-.14
1886,-.14,-.20,-.17,-.20,-.15,-.31,-.21,-.18,-.15,-.24,-.15,-.28,-.20,-.18,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.16,-.30,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.20,-.12,-.20,-.19,-.28,-.30,-.19,-.09,-.03,.07,.07,.15,-.11,-.14,-.18,-.22,-.19,.04
1889,.08,.04,.13,.03,.02,-.12,-.06,-.19,-.16,-.09,-.06,-.04,-.03,-.02,.09,.06,-.12,-.10
1890,-.21,-.32,-.33,-.34,-.43,-.32,-.32,-.38,-.37,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.22,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.05,-.13,-.21,-.22,-.37,-.24,-.20,-.12,.00,-.03,-.11,-.15,-.14,-.06,-.19,-.27,-.05
1893,-.13,-.17,-.12,-.24,-.24,-.32,-.13,-.16,-.16,-.08,-.03,-.03,-.15,-.16,-.14,-.20,-.20,-.09
1894,-.14,-.15,-.23,-.35,-.35,-.39,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.11,-.31,-.28,-.14
1895,-.12,-.05,-.16,-.24,-.23,-.20,-.14,-.05,-.17,-.11,-.20,-.05,-.14,-.15,-.08,-.21,-.13,-.16
1896,-.08,-.07,-.03,-.01,-.14,-.28,-.04,.02,-.01,.10,.13,.13,-.02,-.04,-.06,-.06,-.10,.07
1897,.10,.08,.12,.01,-.15,-.15,-.07,-.10,-.09,-.09,-.10,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.23,-.33,-.32,-.29,-.32,-.35,-.25,-.31,-.25,-.20,-.26,-.25,-.12,-.29,-.32,-.27
1899,-.19,-.12,-.13,-.17,-.21,-.26,-.14,-.10,-.04,-.11,-.09,-.06,-.13,-.15,-.17,-.17,-.17,-.08
1900,-.10,.03,-.04,-.07,-.12,-.08,-.12,-.07,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.28,-.23,-.16,-.25,-.13,-.14,-.18,-.17,-.11,-.15,-.25,-.18
1902,-.18,-.14,-.17,-.18,-.24,-.22,-.21,-.30,-.23,-.26,-.25,-.23,-.22,-.21,-.15,-.20,-.24,-.25
1903,-.24,-.22,-.29,-.35,-.36,-.39,-.27,-.35,-.50,-.48,-.44,-.46,-.36,-.34,-.23,-.34,-.33,-.47
1904,-.51,-.56,-.56,-.51,-.59,-.48,-.42,-.43,-.47,-.38,-.25,-.31,-.46,-.47,-.51,-.55,-.44,-.37
1905,-.27,-.35,-.20,-.21,-.28,-.26,-.29,-.15,-.17,-.21,-.21,-.07,-.22,-.24,-.31,-.23,-.24,-.20
1906,.02,-.04,-.16,-.15,-.26,-.26,-.18,-.22,-.32,-.23,-.35,-.33,-.21,-.19,-.03,-.19,-.22,-.30
1907,-.27,-.29,-.24,-.28,-.33,-.32,-.29,-.29,-.27,-.25,-.36,-.35,-.29,-.29,-.30,-.28,-.30,-.29
1908,-.34,-.37,-.39,-.40,-.46,-.46,-.34,-.34,-.41,-.43,-.41,-.43,-.40,-.39,-.36,-.42,-.38,-.41
1909,-.50,-.46,-.41,-.52,-.59,-.51,-.45,-.32,-.41,-.45,-.52,-.55,-.47,-.46,-.47,-.51,-.42,-.46
1910,-.50,-.45,-.52,-.44,-.38,-.32,-.30,-.33,-.34,-.50,-.53,-.52,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.53,-.56,-.57,-.61,-.57,-.65,-.45,-.44,-.43,-.32,-.21,-.10,-.45,-.49,-.54,-.58,-.52,-.32
1912,-.14,-.11,-.14,-.18,-.28,-.32,-.31,-.29,-.34,-.29,-.25,-.29,-.24,-.23,-.12,-.20,-.31,-.29
1913,-.24,-.24,-.38,-.29,-.32,-.40,-.19,-.20,-.26,-.24,-.24,-.15,-.26,-.27,-.26,-.33,-.26,-.25
1914,-.09,-.10,-.12,-.20,-.23,-.27,-.13,-.04,-.03,-.04,-.08,-.02,-.11,-.12,-.11,-.18,-.15,-.05
1915,-.14,.02,.04,.05,-.10,-.29,-.13,-.27,-.19,-.21,-.23,-.19,-.14,-.12,-.05,.00,-.23,-.21
1916,-.16,-.13,-.18,-.27,-.33,-.47,-.40,-.20,-.24,-.33,-.49,-.52,-.31,-.28,-.16,-.26,-.36,-.35
1917,-.63,-.58,-.53,-.47,-.38,-.39,-.19,-.06,-.16,-.27,-.37,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.28,-.24,-.26,-.31,-.38,-.28,-.28,-.27,-.10,-.06,.01,-.01,-.20,-.23,-.27,-.31,-.28,-.05
1919,-.01,-.06,-.04,-.02,-.14,-.32,-.25,-.38,-.32,-.31,-.35,-.29,-.21,-.18,-.03,-.07,-.32,-.33
1920,-.34,-.24,-.25,-.28,-.32,-.44,-.34,-.20,-.08,-.13,-.09,-.21,-.24,-.25,-.29,-.28,-.33,-.10
1921,-.28,-.28,-.36,-.44,-.35,-.38,-.26,-.22,-.19,-.05,-.18,-.22,-.27,-.27,-.26,-.38,-.29,-.14
1922,-.28,-.26,-.19,-.30,-.47,-.45,-.27,-.29,-.29,-.33,-.18,-.24,-.30,-.30,-.25,-.32,-.34,-.27
1923,-.37,-.32,-.29,-.29,-.28,-.34,-.32,-.38,-.43,-.32,-.20,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.34,-.45,-.41,-.47,-.53,-.51,-.36,-.33,-.19,-.27,-.37,-.47
