year,Temperature,Scenario
1850,4.421559078448165,Historique
1851,4.432951732561946,Historique
1852,4.317351080810984,Historique
1853,4.260947218226913,Historique
1854,4.41486244084471,Historique
1855,4.342757838646283,Historique
1856,4.359745636411655,Historique
1857,4.453680577323174,Historique
1858,4.491031892970227,Historique
1859,4.484922658869398,Historique
1860,4.431560911649551,Historique
1861,4.22729168594041,Historique
1862,4.129505001691503,Historique
1863,4.189641655523663,Historique
1864,4.360407296746682,Historique
1865,4.168496898670393,Historique
1866,4.221154125973915,Historique
1867,4.310651023779087,Historique
1868,4.349006916807677,Historique
1869,4.4353568432309585,Historique
1870,4.144058130006329,Historique
1871,4.39911863691331,Historique
1872,4.173696214046042,Historique
1873,4.168680337125768,Historique
1874,4.3401180866485065,Historique
1875,4.114621183547835,Historique
1876,4.257601259804043,Historique
1877,4.513828566088364,Historique
1878,4.314424214131843,Historique
1879,4.4359843405584725,Historique
1880,4.440113751318639,Historique
1881,4.562080685732288,Historique
1882,4.489343101259654,Historique
1883,4.420572031079814,Historique
1884,3.9357866285369028,Historique
1885,4.319717094053847,Historique
1886,4.224090636343097,Historique
1887,4.06206173358953,Historique
1888,4.130956555390753,Historique
1889,3.9608960609417636,Historique
1890,3.952663717426693,Historique
1891,4.1687430242542405,Historique
1892,4.185556926322192,Historique
1893,4.121377557578209,Historique
1894,4.353281287926582,Historique
1895,4.205408434950148,Historique
1896,4.129620536215005,Historique
1897,4.240544234813835,Historique
1898,4.058328303686987,Historique
1899,4.0387677475655055,Historique
1900,4.124508641722325,Historique
1901,4.451340465247654,Historique
1902,3.973063662438676,Historique
1903,3.8175182792513547,Historique
1904,3.8436476729344804,Historique
1905,3.7709440076956753,Historique
1906,3.763842913267846,Historique
1907,3.940073546588754,Historique
1908,3.829160294324803,Historique
1909,3.8995001920887185,Historique
1910,3.957481971305507,Historique
1911,3.9145196316763986,Historique
1912,3.8973828323496114,Historique
1913,3.9787598484195996,Historique
1914,4.087505991826788,Historique
1915,4.038237034056048,Historique
1916,3.7764981190208573,Historique
1917,3.9775563481031213,Historique
1918,3.8885544901946787,Historique
1919,4.118740095159372,Historique
1920,4.253476128315886,Historique
1921,4.147320667227443,Historique
1922,3.9910619819847475,Historique
1923,3.990563329293726,Historique
1924,4.16604317269135,Historique
1925,4.179851299058669,Historique
1926,4.132370455718312,Historique
1927,3.998506997929288,Historique
1928,3.9340391976914284,Historique
1929,3.8513467097887997,Historique
1930,3.915546211747786,Historique
1931,3.997823049842092,Historique
1932,3.971063184303565,Historique
1933,4.149839072162308,Historique
1934,4.364257543720328,Historique
1935,4.046650926178965,Historique
1936,3.807375835510925,Historique
1937,3.938563460895504,Historique
1938,4.1443605488787325,Historique
1939,4.2161410255978735,Historique
1940,4.202938894958568,Historique
1941,4.198178174307903,Historique
1942,4.464561233902373,Historique
1943,4.372287751043548,Historique
1944,4.228006822546035,Historique
1945,4.492628389527113,Historique
1946,4.5396814908444485,Historique
1947,4.0853615165921155,Historique
1948,4.140225789028553,Historique
1949,4.471921982810234,Historique
1950,4.59700194593366,Historique
1951,4.378175694867991,Historique
1952,4.313042441095869,Historique
1953,4.224036569225935,Historique
1954,4.360725774064993,Historique
1955,4.325556652100469,Historique
1956,4.290018616927189,Historique
1957,4.282068398338765,Historique
1958,4.28855699473839,Historique
1959,4.189680898779405,Historique
1960,4.442521214469669,Historique
1961,4.460054803585346,Historique
1962,4.429731270127642,Historique
1963,4.226777505540933,Historique
1964,4.300441409445701,Historique
1965,4.291852016607322,Historique
1966,4.317648546754715,Historique
1967,4.29591349794066,Historique
1968,4.4724918684456725,Historique
1969,4.751392102901225,Historique
1970,4.574898013363925,Historique
1971,4.655931397830159,Historique
1972,4.560955240957772,Historique
1973,4.463558068289444,Historique
1974,4.597752313657376,Historique
1975,4.542727894716298,Historique
1976,4.361697034506771,Historique
1977,4.417160773013431,Historique
1978,4.53648133108705,Historique
1979,4.550014281125452,Historique
1980,5.146963886047426,Historique
1981,5.206221012460712,Historique
1982,4.951587721224276,Historique
1983,4.89052643120912,Historique
1984,4.7848967847569766,Historique
1985,5.002339160054324,Historique
1986,4.877894308130901,Historique
1987,5.254474057218393,Historique
1988,5.085070898934911,Historique
1989,5.065130692697153,Historique
1990,5.154917657980718,Historique
1991,5.2113500451902155,Historique
1992,4.989446554550303,Historique
1993,5.204489155540576,Historique
1994,5.031154000223637,Historique
1995,5.381854706738788,Historique
1996,5.203885054316705,Historique
1997,5.124714335605215,Historique
1998,5.383822288697918,Historique
1999,5.3432522374050295,Historique
2000,5.431652446688797,Historique
2001,5.493197669220801,Historique
2002,5.0840639743100455,Historique
2003,5.429013003812504,Historique
2004,5.355494224528495,Historique
2005,5.3812636310700555,Historique
2006,5.544527504810465,Historique
2007,5.555171793078405,Historique
2008,5.274857374164299,Historique
2009,5.400600195303582,Historique
2010,5.434960458295753,Historique
2011,5.390605956960182,Historique
2012,5.682795287754099,Historique
2013,5.522341772316357,Historique
2014,5.312339863258747,Historique
2015,5.66944864150139,RCP2.6
2016,5.997358234156877,RCP2.6
2017,5.561261822104787,RCP2.6
2018,5.641250801140775,RCP2.6
2019,5.664188661519461,RCP2.6
2020,5.926919274909134,RCP2.6
2021,5.681504815917795,RCP2.6
2022,6.177476208757942,RCP2.6
2023,6.2531979672921425,RCP2.6
2024,6.181286038194496,RCP2.6
2025,6.200158008436385,RCP2.6
2026,6.168859055754751,RCP2.6
2027,6.411882240426128,RCP2.6
2028,6.250256417730536,RCP2.6
2029,6.112856234330707,RCP2.6
2030,6.153261482777718,RCP2.6
